订单号,订单日期,月份,类别,子类别,单价,数量,总销售额,折扣率,利润,地区,颜色,尺码,客户ID,利润率
DD100473,2024-06-11,6,外套,大衣,610.0,1,610.0,100,239.59,华南,酒红,M,C10345,39.28
DD100858,2024-06-26,6,上衣,卫衣,350.0,1,350.0,100,217.49,华中,藏青,M,C10589,62.14
DD102145,2024-12-14,12,连衣裙,A字裙,420.0,2,840.0,100,449.5,华北,米色,L,C10495,53.51
DD102518,2024-07-25,7,配饰,围巾,260.0,1,260.0,100,170.64,华中,藏青,S,C10425,65.63
DD101171,2024-04-08,4,上衣,卫衣,240.0,1,192.0,80,125.68,华中,黑色,L,C10362,65.46
DD100913,2024-04-22,4,裤装,休闲裤,470.0,1,423.0,90,224.76,华北,黑色,S,C10121,53.13
DD102592,2024-05-14,5,上衣,T恤,330.0,1,330.0,100,201.6,华南,藏青,M,C10086,61.09
DD101056,2024-04-25,4,连衣裙,吊带裙,610.0,1,549.0,90,318.63,华中,驼色,L,C10527,58.04
DD100279,2024-11-17,11,裤装,休闲裤,190.0,2,380.0,100,190.2,西南,藏青,L,C10081,50.05
DD101469,2024-05-20,5,上衣,衬衫,270.0,1,256.5,95,161.66,西南,墨绿,M,C10012,63.03
DD100803,2024-05-08,5,上衣,针织衫,270.0,1,270.0,100,174.53,华中,米色,L,C10011,64.64
DD101432,2024-10-18,10,裤装,西装裤,230.0,1,207.0,90,107.02,华北,白色,M,C10115,51.7
DD101103,2024-05-14,5,上衣,衬衫,210.0,1,199.5,95,121.84,华中,藏青,L,C10232,61.07
DD100019,2024-04-15,4,上衣,衬衫,390.0,1,312.0,80,176.0,东北,黑色,L,C10480,56.41
DD102006,2024-05-23,5,外套,羽绒服,580.0,1,551.0,95,276.05,西南,藏青,M,C10548,50.1
DD101978,2024-04-08,4,连衣裙,针织裙,680.0,1,680.0,100,403.34,东北,墨绿,XS,C10035,59.31
DD102586,2024-05-05,5,连衣裙,A字裙,670.0,1,670.0,100,406.1,西南,酒红,XL,C10350,60.61
DD101310,2024-01-21,1,连衣裙,A字裙,630.0,3,1701.0,90,943.16,华南,黑色,XL,C10401,55.45
DD101164,2024-04-18,4,连衣裙,吊带裙,310.0,1,310.0,100,158.96,华南,驼色,M,C10467,51.28
DD101002,2024-08-18,8,上衣,针织衫,110.0,2,187.0,85,112.19,华中,白色,XXL,C10593,59.99
DD102582,2024-03-09,3,连衣裙,衬衫裙,530.0,1,530.0,100,295.0,华南,灰色,XXL,C10272,55.66
DD100867,2024-07-14,7,连衣裙,衬衫裙,360.0,1,252.0,70,147.56,华中,黑色,XS,C10497,58.56
DD100621,2024-07-11,7,连衣裙,吊带裙,670.0,1,670.0,100,400.71,华北,藏青,L,C10111,59.81
DD101625,2024-02-16,2,连衣裙,衬衫裙,410.0,1,287.0,70,140.41,华北,灰色,S,C10284,48.92
DD101985,2024-08-09,8,连衣裙,针织裙,230.0,1,207.0,90,124.8,东北,黑色,L,C10072,60.29
DD101668,2024-08-06,8,上衣,针织衫,150.0,1,127.5,85,73.14,西南,米色,M,C10099,57.36
DD102590,2024-10-22,10,上衣,衬衫,150.0,1,142.5,95,83.99,东北,藏青,XL,C10199,58.94
DD100220,2024-08-15,8,上衣,卫衣,310.0,2,527.0,85,307.01,华中,米色,XL,C10465,58.26
DD100602,2024-01-22,1,连衣裙,吊带裙,680.0,1,680.0,100,421.9,华南,白色,XL,C10294,62.04
DD102213,2024-06-08,6,上衣,T恤,250.0,1,225.0,90,128.81,华南,米色,M,C10206,57.25
DD101823,2024-10-17,10,连衣裙,衬衫裙,440.0,1,396.0,90,225.15,华北,藏青,XXL,C10283,56.86
DD100304,2024-11-13,11,裤装,休闲裤,520.0,1,468.0,90,237.39,东北,藏青,XXL,C10071,50.72
DD101886,2024-01-26,1,配饰,围巾,180.0,1,153.0,85,105.54,华中,酒红,L,C10599,68.98
DD100720,2024-07-22,7,外套,羽绒服,1220.0,2,2318.0,95,966.87,西南,墨绿,M,C10276,41.71
DD101352,2024-08-18,8,外套,大衣,650.0,1,455.0,70,189.34,东北,驼色,M,C10084,41.61
DD102444,2024-05-21,5,连衣裙,A字裙,230.0,1,230.0,100,123.22,华中,酒红,S,C10316,53.57
DD100345,2024-04-25,4,连衣裙,针织裙,430.0,2,860.0,100,451.06,华中,灰色,S,C10533,52.45
DD101212,2024-06-15,6,裤装,休闲裤,320.0,1,304.0,95,168.45,华东,米色,XXL,C10203,55.41
DD100908,2024-10-27,10,外套,夹克,480.0,1,480.0,100,190.32,华北,白色,M,C10563,39.65
DD101011,2024-01-16,1,配饰,围巾,260.0,2,520.0,100,373.06,华南,藏青,XXL,C10598,71.74
DD100782,2024-05-14,5,连衣裙,针织裙,550.0,1,522.5,95,259.36,东北,酒红,S,C10346,49.64
DD101858,2024-02-14,2,裤装,牛仔裤,500.0,1,450.0,90,257.42,华南,灰色,L,C10159,57.2
DD102466,2024-07-26,7,裤装,短裤,530.0,2,1060.0,100,580.22,华北,酒红,S,C10069,54.74
DD101005,2024-08-04,8,外套,大衣,770.0,1,654.5,85,246.51,华东,灰色,L,C10474,37.66
DD102307,2024-05-27,5,连衣裙,衬衫裙,450.0,1,405.0,90,206.09,华中,驼色,S,C10246,50.89
DD100708,2024-03-24,3,上衣,针织衫,200.0,1,190.0,95,106.2,华东,藏青,XL,C10582,55.89
DD101190,2024-07-24,7,连衣裙,吊带裙,410.0,3,1107.0,90,575.23,华东,黑色,XL,C10589,51.96
DD100193,2024-08-05,8,裤装,短裤,510.0,3,1530.0,100,842.28,华东,黑色,M,C10261,55.05
DD100175,2024-11-16,11,上衣,T恤,300.0,1,300.0,100,170.7,东北,藏青,M,C10242,56.9
DD102354,2024-06-27,6,外套,羽绒服,1120.0,2,2128.0,95,852.61,华北,白色,XL,C10079,40.07
DD100663,2024-10-14,10,裤装,牛仔裤,240.0,1,240.0,100,130.45,西南,灰色,XL,C10174,54.35
DD101579,2024-05-22,5,外套,夹克,1260.0,1,1134.0,90,480.52,华中,酒红,L,C10479,42.37
DD102058,2024-10-24,10,裤装,西装裤,540.0,1,513.0,95,292.04,华东,藏青,L,C10319,56.93
DD100799,2024-01-10,1,配饰,围巾,70.0,1,63.0,90,39.45,华北,墨绿,XL,C10059,62.62
DD100129,2024-09-11,9,外套,大衣,1120.0,1,896.0,80,440.92,西南,米色,M,C10323,49.21
DD100341,2024-01-13,1,上衣,衬衫,100.0,1,95.0,95,61.72,华北,黑色,L,C10414,64.97
DD102156,2024-09-21,9,上衣,T恤,120.0,1,108.0,90,60.84,华南,米色,XL,C10360,56.33
DD101289,2024-03-20,3,裤装,西装裤,270.0,1,270.0,100,156.65,华中,黑色,L,C10173,58.02
DD101088,2024-07-20,7,配饰,包包,180.0,1,162.0,90,101.89,西南,黑色,S,C10126,62.9
DD100308,2024-11-15,11,上衣,卫衣,180.0,1,180.0,100,96.82,华东,藏青,XL,C10271,53.79
DD100638,2024-04-23,4,裤装,西装裤,530.0,1,503.5,95,269.32,西南,墨绿,M,C10520,53.49
DD100384,2024-07-24,7,上衣,卫衣,340.0,1,323.0,95,180.58,西南,黑色,XS,C10068,55.91
DD101380,2024-11-19,11,外套,夹克,800.0,1,800.0,100,407.83,华北,藏青,XL,C10288,50.98
DD102412,2024-08-03,8,连衣裙,A字裙,290.0,1,275.5,95,151.19,华南,黑色,XXL,C10227,54.88
DD101057,2024-06-06,6,配饰,包包,60.0,1,60.0,100,42.36,华北,灰色,XL,C10335,70.6
DD100178,2024-06-12,6,上衣,针织衫,120.0,1,108.0,90,67.47,华东,驼色,S,C10237,62.47
DD100427,2024-05-28,5,裤装,牛仔裤,220.0,1,187.0,85,101.6,华南,藏青,L,C10437,54.33
DD100901,2024-06-17,6,上衣,T恤,160.0,1,128.0,80,67.84,华中,米色,XXL,C10585,53.0
DD102418,2024-08-13,8,连衣裙,衬衫裙,240.0,1,240.0,100,142.74,华东,酒红,M,C10446,59.48
DD101875,2024-04-28,4,上衣,针织衫,290.0,2,551.0,95,345.2,华北,驼色,XXL,C10568,62.65
DD101001,2024-09-15,9,外套,大衣,830.0,1,788.5,95,335.91,华东,墨绿,XS,C10415,42.6
DD100185,2024-03-20,3,连衣裙,衬衫裙,620.0,1,589.0,95,308.86,东北,驼色,M,C10226,52.44
DD101412,2024-07-16,7,上衣,针织衫,240.0,1,240.0,100,135.14,华北,灰色,S,C10151,56.31
DD102108,2024-09-18,9,裤装,短裤,220.0,1,220.0,100,116.77,华南,黑色,S,C10391,53.08
DD101778,2024-05-12,5,上衣,卫衣,340.0,1,272.0,80,172.39,华中,墨绿,M,C10524,63.38
DD102345,2024-01-15,1,上衣,针织衫,120.0,1,120.0,100,70.07,华东,灰色,L,C10303,58.39
DD102011,2024-05-08,5,上衣,T恤,370.0,1,351.5,95,181.68,华南,米色,M,C10534,51.69
DD101641,2024-06-18,6,上衣,T恤,330.0,1,313.5,95,163.86,西南,驼色,L,C10026,52.27
DD101371,2024-12-27,12,连衣裙,针织裙,240.0,2,480.0,100,254.52,华中,藏青,S,C10455,53.02
DD100490,2024-04-06,4,连衣裙,A字裙,530.0,3,1272.0,80,687.86,东北,酒红,XXL,C10233,54.08
DD101308,2024-07-18,7,裤装,西装裤,550.0,1,550.0,100,273.86,华东,白色,L,C10568,49.79
DD100927,2024-07-20,7,连衣裙,针织裙,640.0,2,1280.0,100,668.13,西南,白色,M,C10242,52.2
DD102350,2024-10-22,10,外套,夹克,830.0,1,830.0,100,328.98,西南,灰色,XS,C10098,39.64
DD101318,2024-01-14,1,上衣,T恤,110.0,1,110.0,100,63.5,华北,藏青,M,C10129,57.73
DD102203,2024-03-24,3,外套,羽绒服,890.0,1,890.0,100,449.92,华南,米色,M,C10154,50.55
DD101656,2024-10-16,10,连衣裙,吊带裙,330.0,1,313.5,95,158.92,华中,酒红,M,C10259,50.69
DD102044,2024-04-12,4,上衣,针织衫,320.0,1,320.0,100,171.23,华南,米色,XS,C10436,53.51
DD100119,2024-07-12,7,上衣,卫衣,170.0,1,170.0,100,98.7,西南,酒红,XL,C10555,58.06
DD101877,2024-05-07,5,连衣裙,衬衫裙,440.0,1,440.0,100,220.68,华中,酒红,S,C10020,50.15
DD100282,2024-06-26,6,连衣裙,针织裙,460.0,1,414.0,90,219.82,华北,墨绿,L,C10570,53.1
DD102332,2024-05-13,5,裤装,牛仔裤,480.0,1,456.0,95,267.66,华中,白色,L,C10229,58.7
DD100743,2024-05-11,5,连衣裙,吊带裙,630.0,1,567.0,90,307.43,华中,白色,L,C10308,54.22
DD101992,2024-03-05,3,上衣,卫衣,270.0,1,256.5,95,138.19,西南,米色,XXL,C10227,53.88
DD102430,2024-10-13,10,上衣,针织衫,270.0,1,270.0,100,163.75,华中,黑色,M,C10403,60.65
DD101512,2024-09-15,9,上衣,衬衫,260.0,2,520.0,100,326.26,华北,米色,S,C10060,62.74
DD102248,2024-10-26,10,裤装,短裤,170.0,1,153.0,90,80.42,华东,酒红,L,C10136,52.56
DD101211,2024-10-16,10,连衣裙,衬衫裙,430.0,1,408.5,95,207.31,华北,米色,L,C10087,50.75
DD100367,2024-10-28,10,连衣裙,A字裙,610.0,1,610.0,100,310.73,西南,驼色,L,C10024,50.94
DD101466,2024-11-14,11,裤装,西装裤,340.0,1,323.0,95,167.82,东北,米色,S,C10570,51.96
DD100556,2024-05-20,5,裤装,短裤,410.0,1,410.0,100,215.97,东北,墨绿,XL,C10148,52.68
DD101351,2024-05-18,5,上衣,卫衣,160.0,1,160.0,100,104.55,华南,酒红,M,C10164,65.34
DD101433,2024-08-17,8,连衣裙,吊带裙,280.0,1,280.0,100,157.82,华北,白色,XL,C10026,56.36
DD102427,2024-02-16,2,外套,风衣,1140.0,1,1026.0,90,515.14,华中,黑色,L,C10399,50.21
DD101390,2024-09-18,9,裤装,牛仔裤,360.0,1,342.0,95,156.0,西南,灰色,M,C10371,45.61
DD100204,2024-01-20,1,配饰,包包,130.0,1,130.0,100,89.6,华中,墨绿,M,C10439,68.92
DD102548,2024-05-28,5,外套,风衣,1050.0,1,1050.0,100,472.53,东北,灰色,XL,C10105,45.0
DD101830,2024-09-17,9,配饰,帽子,90.0,1,72.0,80,45.33,华北,黑色,XL,C10104,62.96
DD100121,2024-05-19,5,连衣裙,衬衫裙,220.0,1,132.0,60,66.58,华南,黑色,L,C10184,50.44
DD100284,2024-05-12,5,连衣裙,吊带裙,390.0,1,390.0,100,205.21,东北,藏青,L,C10394,52.62
DD100576,2024-04-23,4,上衣,卫衣,120.0,1,120.0,100,77.89,华北,酒红,M,C10592,64.91
DD101808,2024-04-16,4,裤装,短裤,340.0,1,289.0,85,149.58,华南,藏青,M,C10297,51.76
DD101799,2024-10-05,10,连衣裙,吊带裙,490.0,1,465.5,95,269.95,华东,白色,XL,C10453,57.99
DD102154,2024-05-18,5,裤装,休闲裤,550.0,2,1100.0,100,575.01,华北,藏青,L,C10030,52.27
DD100276,2024-08-21,8,上衣,T恤,190.0,1,171.0,90,107.97,华东,米色,M,C10102,63.14
DD101746,2024-04-05,4,上衣,针织衫,210.0,1,168.0,80,87.05,华东,驼色,XL,C10402,51.82
DD102059,2024-06-26,6,上衣,T恤,200.0,1,200.0,100,127.63,西南,白色,M,C10320,63.82
DD100361,2024-05-08,5,连衣裙,衬衫裙,270.0,1,270.0,100,156.63,华南,灰色,XL,C10512,58.01
DD101015,2024-08-09,8,连衣裙,针织裙,320.0,1,304.0,95,150.94,华南,藏青,M,C10588,49.65
DD100880,2024-04-07,4,外套,风衣,1110.0,1,777.0,70,318.44,华东,墨绿,M,C10223,40.98
DD102596,2024-07-23,7,上衣,卫衣,340.0,1,306.0,90,190.77,东北,墨绿,L,C10005,62.34
DD100630,2024-01-04,1,连衣裙,A字裙,650.0,1,617.5,95,310.83,华北,驼色,L,C10451,50.34
DD101475,2024-05-23,5,连衣裙,吊带裙,690.0,1,655.5,95,399.97,西南,米色,L,C10557,61.02
DD101676,2024-09-07,9,裤装,西装裤,430.0,1,430.0,100,244.6,华东,米色,M,C10116,56.88
DD101661,2024-04-13,4,上衣,衬衫,150.0,1,150.0,100,84.26,西南,驼色,L,C10226,56.17
DD100287,2024-05-08,5,裤装,短裤,360.0,1,360.0,100,165.52,西南,墨绿,XL,C10216,45.98
DD100979,2024-09-28,9,连衣裙,衬衫裙,420.0,1,420.0,100,220.02,华东,酒红,XXL,C10051,52.39
DD102106,2024-02-15,2,上衣,针织衫,310.0,2,589.0,95,367.2,华南,灰色,L,C10381,62.34
DD101293,2024-11-12,11,外套,风衣,540.0,1,540.0,100,212.93,华北,黑色,M,C10216,39.43
DD101024,2024-03-21,3,上衣,衬衫,310.0,1,263.5,85,141.83,华北,白色,XL,C10122,53.83
DD100424,2024-07-17,7,裤装,牛仔裤,250.0,1,250.0,100,135.33,华南,墨绿,L,C10525,54.13
DD101962,2024-05-06,5,连衣裙,吊带裙,560.0,1,448.0,80,233.87,东北,墨绿,L,C10438,52.2
DD102464,2024-08-27,8,裤装,牛仔裤,200.0,1,200.0,100,108.79,西南,墨绿,XL,C10406,54.4
DD102470,2024-05-08,5,外套,夹克,620.0,1,620.0,100,298.9,华东,黑色,XXL,C10170,48.21
DD102492,2024-07-11,7,连衣裙,针织裙,410.0,1,410.0,100,221.77,华中,米色,XL,C10376,54.09
DD100066,2024-06-04,6,外套,羽绒服,1020.0,1,918.0,90,414.84,华中,藏青,S,C10549,45.19
DD101785,2024-07-26,7,外套,夹克,1140.0,1,1140.0,100,449.93,华中,酒红,L,C10535,39.47
DD101612,2024-03-14,3,裤装,西装裤,430.0,4,1204.0,70,535.73,东北,驼色,L,C10220,44.5
DD101938,2024-09-14,9,连衣裙,A字裙,670.0,1,670.0,100,327.44,东北,米色,S,C10092,48.87
DD102326,2024-07-11,7,连衣裙,针织裙,620.0,3,1860.0,100,1031.97,华中,米色,XS,C10437,55.48
DD100231,2024-08-09,8,上衣,T恤,300.0,1,255.0,85,148.53,华中,灰色,S,C10194,58.25
DD101710,2024-09-10,9,外套,大衣,1280.0,2,2432.0,95,1055.59,华北,黑色,XL,C10082,43.4
DD100822,2024-02-27,2,连衣裙,针织裙,600.0,1,570.0,95,296.91,华中,白色,M,C10537,52.09
DD101568,2024-10-14,10,上衣,卫衣,290.0,2,551.0,95,368.15,华南,灰色,S,C10372,66.81
DD101507,2024-04-12,4,裤装,休闲裤,240.0,1,240.0,100,123.95,华南,墨绿,S,C10288,51.65
DD101430,2024-02-19,2,裤装,短裤,570.0,2,1140.0,100,645.37,华南,白色,L,C10405,56.61
DD101934,2024-02-15,2,上衣,卫衣,340.0,1,323.0,95,206.64,华东,米色,M,C10401,63.98
DD100846,2024-10-17,10,配饰,包包,80.0,1,80.0,100,55.75,西南,白色,S,C10013,69.69
DD101162,2024-01-23,1,上衣,针织衫,110.0,3,297.0,90,179.3,东北,酒红,L,C10524,60.37
DD100375,2024-08-25,8,连衣裙,吊带裙,620.0,1,558.0,90,269.56,华东,黑色,M,C10439,48.31
DD102487,2024-02-16,2,外套,风衣,900.0,1,810.0,90,344.57,西南,白色,L,C10029,42.54
DD101653,2024-04-17,4,裤装,牛仔裤,400.0,1,400.0,100,211.61,华北,灰色,M,C10294,52.9
DD101645,2024-09-07,9,连衣裙,针织裙,210.0,1,168.0,80,91.69,东北,白色,M,C10493,54.58
DD100298,2024-08-11,8,配饰,围巾,120.0,1,108.0,90,74.61,华北,藏青,S,C10563,69.08
DD100599,2024-01-03,1,上衣,针织衫,140.0,1,140.0,100,83.31,华中,白色,XL,C10323,59.51
DD101643,2024-06-15,6,连衣裙,吊带裙,470.0,1,470.0,100,238.25,华东,藏青,L,C10578,50.69
DD100100,2024-04-24,4,上衣,卫衣,330.0,1,297.0,90,169.51,西南,藏青,S,C10036,57.07
DD100945,2024-05-03,5,上衣,卫衣,380.0,1,266.0,70,154.26,东北,墨绿,L,C10238,57.99
DD100737,2024-09-03,9,裤装,西装裤,450.0,1,360.0,80,170.77,华中,藏青,XL,C10291,47.44
DD100980,2024-02-28,2,上衣,针织衫,200.0,1,190.0,95,119.36,华中,藏青,L,C10423,62.82
DD101925,2024-03-24,3,上衣,卫衣,90.0,1,90.0,100,53.3,东北,米色,L,C10554,59.22
DD100530,2024-04-12,4,裤装,休闲裤,530.0,1,318.0,60,151.19,东北,灰色,S,C10220,47.54
DD101341,2024-04-05,4,上衣,衬衫,230.0,1,218.5,95,137.53,东北,墨绿,M,C10339,62.94
DD101100,2024-05-06,5,配饰,帽子,250.0,1,237.5,95,156.91,华北,藏青,M,C10566,66.07
DD101376,2024-03-24,3,裤装,短裤,580.0,1,522.0,90,284.32,华东,米色,L,C10229,54.47
DD100637,2024-09-05,9,上衣,T恤,310.0,1,217.0,70,113.99,华南,黑色,M,C10456,52.53
DD102289,2024-06-26,6,配饰,围巾,120.0,3,360.0,100,254.22,东北,墨绿,L,C10164,70.62
DD100186,2024-08-14,8,裤装,牛仔裤,500.0,1,450.0,90,242.53,华北,米色,L,C10353,53.9
DD101909,2024-08-14,8,上衣,衬衫,190.0,1,152.0,80,97.66,东北,驼色,M,C10286,64.25
DD102202,2024-07-04,7,外套,风衣,330.0,1,297.0,90,144.91,华东,黑色,M,C10209,48.79
DD101214,2024-09-24,9,配饰,围巾,180.0,2,306.0,85,189.75,西南,酒红,XS,C10048,62.01
DD101519,2024-08-10,8,裤装,西装裤,200.0,1,160.0,80,77.23,华中,米色,S,C10209,48.27
DD101048,2024-04-19,4,连衣裙,吊带裙,520.0,1,494.0,95,296.26,华南,酒红,L,C10038,59.97
DD101929,2024-05-07,5,连衣裙,衬衫裙,650.0,1,650.0,100,331.39,华中,白色,S,C10501,50.98
DD101114,2024-03-05,3,上衣,卫衣,110.0,1,110.0,100,58.17,华北,黑色,M,C10494,52.88
DD100512,2024-02-23,2,上衣,卫衣,120.0,1,102.0,85,54.36,华东,白色,L,C10157,53.29
DD101377,2024-04-13,4,裤装,休闲裤,240.0,1,240.0,100,113.49,华中,灰色,S,C10560,47.29
DD101230,2024-06-18,6,连衣裙,吊带裙,530.0,1,477.0,90,289.97,华东,墨绿,M,C10209,60.79
DD101511,2024-06-04,6,连衣裙,衬衫裙,380.0,2,684.0,90,330.11,华南,酒红,S,C10575,48.26
DD102173,2024-03-01,3,配饰,帽子,160.0,1,152.0,95,110.25,华北,灰色,XL,C10019,72.53
DD100608,2024-11-13,11,连衣裙,针织裙,390.0,1,390.0,100,209.96,华南,藏青,M,C10272,53.84
DD101670,2024-12-12,12,连衣裙,针织裙,430.0,1,387.0,90,232.28,华中,墨绿,M,C10310,60.02
DD100941,2024-01-22,1,裤装,西装裤,440.0,2,836.0,95,435.26,华北,米色,XXL,C10005,52.06
DD100152,2024-06-10,6,上衣,针织衫,230.0,1,184.0,80,107.63,华中,墨绿,XXL,C10086,58.49
DD101691,2024-10-27,10,外套,风衣,1170.0,1,1170.0,100,590.89,华南,黑色,M,C10078,50.5
DD101462,2024-08-07,8,外套,夹克,640.0,4,2560.0,100,1096.8,华东,白色,M,C10301,42.84
DD101201,2024-07-20,7,连衣裙,吊带裙,630.0,1,630.0,100,309.7,东北,米色,XL,C10082,49.16
DD102040,2024-05-22,5,上衣,卫衣,150.0,1,150.0,100,88.23,华东,墨绿,L,C10235,58.82
DD101006,2024-06-27,6,裤装,西装裤,510.0,1,484.5,95,252.28,华南,米色,S,C10294,52.07
DD102370,2024-10-25,10,外套,风衣,1250.0,1,1250.0,100,522.41,华南,酒红,L,C10467,41.79
DD100024,2024-05-03,5,连衣裙,衬衫裙,420.0,1,420.0,100,243.76,东北,白色,XL,C10304,58.04
DD100159,2024-09-28,9,连衣裙,A字裙,310.0,1,263.5,85,136.62,华中,黑色,L,C10018,51.85
DD102315,2024-12-14,12,裤装,牛仔裤,260.0,1,260.0,100,143.13,华中,墨绿,M,C10265,55.05
DD100332,2024-06-02,6,裤装,休闲裤,500.0,1,250.0,50,144.64,东北,黑色,M,C10250,57.86
DD102406,2024-07-14,7,连衣裙,吊带裙,350.0,1,350.0,100,178.41,华南,米色,L,C10001,50.97
DD102485,2024-02-24,2,连衣裙,衬衫裙,500.0,1,500.0,100,264.54,华北,酒红,L,C10531,52.91
DD101863,2024-09-08,9,裤装,牛仔裤,500.0,1,475.0,95,227.0,华北,藏青,L,C10227,47.79
DD100445,2024-03-22,3,连衣裙,衬衫裙,610.0,1,610.0,100,329.07,华北,灰色,L,C10205,53.95
DD102549,2024-05-27,5,上衣,针织衫,190.0,1,190.0,100,105.14,东北,驼色,XL,C10291,55.34
DD101559,2024-03-06,3,连衣裙,吊带裙,480.0,1,456.0,95,243.57,华北,酒红,M,C10435,53.41
DD100874,2024-07-18,7,外套,羽绒服,1250.0,1,1250.0,100,607.6,华东,驼色,L,C10145,48.61
DD100643,2024-03-23,3,裤装,短裤,480.0,2,960.0,100,446.39,华北,白色,XXL,C10324,46.5
DD101350,2024-04-05,4,外套,大衣,1280.0,2,2304.0,90,1080.39,华中,酒红,M,C10427,46.89
DD100312,2024-09-26,9,上衣,针织衫,350.0,2,560.0,80,343.22,华中,墨绿,M,C10232,61.29
DD100352,2024-05-13,5,外套,夹克,690.0,1,690.0,100,335.45,华北,驼色,XXL,C10343,48.62
DD100549,2024-02-17,2,连衣裙,吊带裙,450.0,2,900.0,100,532.82,东北,驼色,M,C10292,59.2
DD101468,2024-04-07,4,裤装,短裤,160.0,1,160.0,100,92.19,华北,灰色,XL,C10561,57.62
DD101447,2024-04-19,4,裤装,短裤,510.0,1,484.5,95,250.04,西南,黑色,XS,C10108,51.61
DD101221,2024-06-02,6,配饰,腰带,80.0,2,152.0,95,103.13,西南,灰色,XS,C10327,67.85
DD100307,2024-07-22,7,连衣裙,吊带裙,510.0,1,510.0,100,292.79,西南,黑色,L,C10272,57.41
DD100288,2024-06-07,6,外套,夹克,1120.0,2,2240.0,100,1014.74,华北,藏青,XXL,C10090,45.3
DD100695,2024-01-02,1,连衣裙,吊带裙,250.0,1,225.0,90,122.63,华东,白色,XL,C10079,54.5
DD100946,2024-11-23,11,上衣,针织衫,270.0,1,135.0,50,86.16,东北,驼色,L,C10445,63.82
DD100631,2024-03-26,3,裤装,西装裤,360.0,1,342.0,95,198.04,华北,黑色,XXL,C10501,57.91
DD102128,2024-03-10,3,裤装,短裤,180.0,2,360.0,100,175.55,东北,灰色,M,C10152,48.76
DD101966,2024-11-16,11,连衣裙,A字裙,240.0,1,240.0,100,127.35,东北,驼色,L,C10565,53.06
DD101065,2024-05-19,5,上衣,衬衫,270.0,2,486.0,90,313.48,东北,墨绿,L,C10507,64.5
DD102506,2024-12-14,12,配饰,围巾,290.0,2,406.0,70,258.01,华东,藏青,M,C10101,63.55
DD101506,2024-10-11,10,上衣,卫衣,180.0,2,342.0,95,204.28,东北,米色,XS,C10108,59.73
DD101378,2024-01-10,1,配饰,包包,120.0,1,102.0,85,64.51,华东,藏青,M,C10554,63.25
DD102046,2024-12-05,12,上衣,针织衫,330.0,1,313.5,95,198.09,华东,藏青,XXL,C10048,63.19
DD101726,2024-07-19,7,连衣裙,衬衫裙,220.0,1,220.0,100,125.12,东北,藏青,M,C10063,56.87
DD102194,2024-03-05,3,外套,风衣,1190.0,1,1130.5,95,433.87,东北,米色,XXL,C10130,38.38
DD101491,2024-02-25,2,连衣裙,A字裙,410.0,1,410.0,100,229.72,华中,白色,L,C10066,56.03
DD100962,2024-03-09,3,配饰,围巾,190.0,1,190.0,100,137.61,东北,灰色,XL,C10081,72.43
DD101703,2024-02-12,2,连衣裙,衬衫裙,550.0,3,1155.0,70,623.19,华中,驼色,L,C10474,53.96
DD101611,2024-01-28,1,上衣,T恤,260.0,2,520.0,100,319.99,西南,酒红,L,C10041,61.54
DD100014,2024-02-01,2,上衣,针织衫,190.0,1,190.0,100,108.84,华北,白色,L,C10146,57.28
DD101059,2024-12-14,12,连衣裙,针织裙,480.0,1,480.0,100,282.6,华中,驼色,XS,C10182,58.88
DD100809,2024-04-28,4,连衣裙,衬衫裙,510.0,2,969.0,95,494.89,华北,驼色,S,C10271,51.07
DD101739,2024-08-23,8,裤装,牛仔裤,580.0,1,551.0,95,261.96,华北,墨绿,XXL,C10519,47.54
DD100515,2024-04-22,4,上衣,卫衣,190.0,1,190.0,100,113.44,华东,白色,S,C10436,59.71
DD100410,2024-09-03,9,裤装,休闲裤,430.0,1,408.5,95,196.61,华中,白色,M,C10582,48.13
DD102335,2024-01-18,1,连衣裙,A字裙,310.0,3,930.0,100,520.99,华东,墨绿,XL,C10319,56.02
DD100314,2024-06-23,6,配饰,包包,280.0,1,266.0,95,171.72,西南,驼色,M,C10082,64.56
DD102030,2024-07-18,7,外套,大衣,1220.0,2,2440.0,100,1127.39,华南,藏青,XXL,C10056,46.2
DD102276,2024-01-19,1,上衣,卫衣,300.0,1,285.0,95,168.93,华中,黑色,XXL,C10309,59.27
DD100839,2024-07-26,7,连衣裙,针织裙,670.0,1,670.0,100,410.8,华中,酒红,XS,C10252,61.31
DD101115,2024-02-18,2,上衣,衬衫,250.0,1,250.0,100,163.53,东北,驼色,XL,C10217,65.41
DD101369,2024-03-24,3,配饰,围巾,280.0,1,280.0,100,199.13,华北,白色,XXL,C10302,71.12
DD100383,2024-10-19,10,连衣裙,针织裙,420.0,1,399.0,95,237.92,华北,驼色,L,C10009,59.63
DD101186,2024-03-26,3,上衣,衬衫,110.0,1,110.0,100,71.95,华中,灰色,L,C10504,65.41
DD101763,2024-08-12,8,上衣,T恤,120.0,1,102.0,85,59.36,华中,米色,L,C10479,58.2
DD100842,2024-11-19,11,上衣,衬衫,270.0,2,513.0,95,307.86,西南,米色,L,C10444,60.01
DD101107,2024-06-05,6,配饰,围巾,120.0,1,108.0,90,68.94,东北,米色,XL,C10076,63.83
